,bTS,mTS,wTS,rTS
0,-2.2610783023443354e-07,-0.0007355646339829973,6.053260911153801e-08,-0.0007355646339829973
26_AT1,-6.327751203466027e-08,-0.0012994511696756523,5.741605624524442e-08,-0.0012994511696756523
8639_AT1,0.0009224835623685018,0.00013721492481876191,0.0004565014790539056,0.00013721492481876191
1591_AT1,1.0456354943268913e-07,-0.0012994511696756523,-1.9769173516572845e-08,-0.0012994511696756523
1594_AT1,-5.407899645614359e-08,-0.0012994511696756523,5.3698794755421064e-08,-0.0012994511696756523
10993_AT1,0.0015046720527149247,-0.00038589339707102455,0.001546964655761607,-0.00038589339707102455
6818_AT1,-9.343021824449439e-08,-0.0012994511696756523,5.835339094075339e-08,-0.0012994511696756523
89874_AT1,0.0019726089365280476,-0.000145969128388457,0.0005357062718555507,-0.000145969128388457
134526_AT1,-4.9479950054862265e-08,-0.0012994511696756523,5.5517799328661e-08,-0.0012994511696756523
51_AT1,0.0012370318013548566,7.542711162627549e-05,0.00026379654958321727,7.542711162627549e-05
95_AT1,0.002053630625707369,-0.00019906474361302377,0.08257905351971295,-0.00019906474361302377
8309_AT1,0.007487426012241986,-9.452127199112626e-05,0.07827664221048673,-9.452127199112626e-05
788_AT1,0.00017010119873417243,3.2925167110099176e-05,-0.0001537130331445396,1.0661637697234998e-06
9194_AT1,-0.07799185537453251,-0.021487541058956033,0.07816702257793251,-0.021487541058956033
6566_AT1,0.008931604806493373,0.003669621270859589,-0.008925909988864474,0.006553031613773498
65985_AT1,-0.004847319145250513,-0.0005603293054200633,0.02885869244275986,-0.0005603293054200633
438_AT1,-7.981157602024569e-08,-0.0003158117314550576,5.334426475239484e-08,-0.0003158117314550576
1571_AT1,0.0026618898370185692,0.0008863577482189991,-0.002052314106186358,0.00041784711917442456
57835_AT1,0.005960665485370061,0.0015879733646242918,-6.175358229498087e-05,0.0009563441070057548
100_AT1,0.0033783273960073293,4.6839829548645836e-05,3.537585759815452e-05,4.6839829548645836e-05
8050_AT1,0.0015699428381702274,0.000531058353919244,-0.0011769048432784632,0.00014587364081770338
1738_AT1,0.0006789335678930862,0.0003396429653716832,-0.0006700474188623977,4.581719025716519e-05
3177_AT1,0.001133838694143767,0.00023608597981520846,-0.0009947031242459148,5.025188807721735e-05
4967_AT1,0.07180566038747774,0.0001794374902087205,0.0052189723760906505,0.0001794374902087205
1743_AT1,0.0023626788038792544,0.0005086429631500457,-0.00022454773676305523,0.00013159745739727466
128_AT1,-0.0017379032438951314,-0.0004427313525216441,0.001756441283015454,-0.0004427313525216441
137872_AT1,0.13106722978214183,-0.00011405762037134271,0.017283329436970807,-0.00011405762037134271
50808_AT1,-0.0018250207823965554,-0.000550161523639309,0.006726994543209923,-0.000550161523639309
262_AT1,0.12164895328855638,0.00022696816186264777,0.011245140434883142,0.00022696816186264777
117247_AT1,-0.0001696894639106182,-7.183247049536553e-05,0.0005034369838245778,-7.183247049536553e-05
3242_AT1,0.026069520541896568,0.0005025471442868713,0.12809057077610242,0.0005025471442868713
18_AT1,-6.241280448340944e-08,-0.0007511508820540719,8.949455213901662e-08,-0.0007511508820540719
2531_AT1,0.00045211829706396235,0.00020987386302858416,-0.00031417918908701144,1.6082581364759786e-05
23498_AT1,0.01882533352793265,0.00031780376750399235,0.129301277319422,0.00031780376750399235
55268_AT1,-0.0011914109086447761,2.122350901929797e-05,0.0013867065178836486,2.122350901929797e-05
51166_AT1,0.0024967735282828882,0.0002651068818140415,-0.000948548977188629,9.13378706269295e-05
2030_AT1,0.0008200108933723641,-0.0001408430936168457,0.002342923073293625,-0.0001408430936168457
883_AT1,0.002791764145840847,0.00037738921976129234,-0.0013115623627979252,0.00015485511895210142
1644_AT1,0.013724065539552806,0.00015727922376110833,0.1061133159776161,0.00015727922376110833
64078_AT1,-6.314796395056757e-08,-0.0010912498111625545,5.173708550600028e-08,-0.0010912498111625545
55315_AT1,0.0009548775181898875,0.00016131944744155523,0.00093840901989435,0.00016131944744155523
11164_AT1,0.00018857882902537952,-8.041041792963415e-05,0.0005866675724026954,-8.041041792963415e-05
952_AT1,-0.0011027793233500864,-7.060081279505845e-05,0.002987693695677755,-7.060081279505845e-05
533_AT1,0.09301327050249057,0.0002124417555421493,0.008988758121113768,0.0002124417555421493
2805_AT1,0.013502328087322008,0.0008060369086718834,-0.005178548156231473,0.0015057475738635873
1374_AT1,-0.00041549365161922284,-6.584784930679452e-05,0.000452098744534369,-6.584784930679452e-05
2806_AT1,0.0013055282447062846,0.00019360253491710477,0.00012466846260678703,0.00019360253491710477
8659_AT1,1.903511808099614e-07,-0.0012994511696756523,9.69298113283131e-09,-0.0012994511696756523
6817_AT1,-6.474800580750546e-08,-0.0014232090560297604,8.145957015375706e-08,-0.0014232090560297604
523_AT1,0.09301327050249057,0.0002124417555421493,0.008988758121113768,0.0002124417555421493
1376_AT1,-2.6307561550447565e-05,-8.584100676154243e-06,0.0005397326422271483,-8.584100676154243e-06
8992_AT1,0.09301327050249057,0.0002124417555421493,0.008988758121113768,0.0002124417555421493
4363_AT1,0.0024727450483720045,0.00024029915868967685,0.05238236346906697,0.00024029915868967685
6822_AT1,0.003867419084341152,0.0015794648509378823,0.002103328473611364,0.0015794648509378823
6573_AT1,-0.0011487163318162068,2.0368230210914e-05,0.003991596858465271,2.0368230210914e-05
316_AT1,0.0874007877972847,-0.00034264947233533365,0.007453447734015675,-0.00034264947233533365
10331_AT1,-1.5394456499306616e-05,4.000930303317318e-05,0.11033573086664318,4.000930303317318e-05
51382_AT1,0.09301327050249057,0.0002124417555421493,0.008988758121113768,0.0002124417555421493
10678_AT1,-1.3355854708564258e-07,-0.0003114497052345782,-3.982533086122597e-08,-0.0003114497052345782
9296_AT1,0.09301327050249057,0.0002124417555421493,0.008988758121113768,0.0002124417555421493
4125_AT1,0.0018884995307803401,-4.846834715862936e-06,0.029311346989924124,-4.846834715862936e-06
79814_AT1,0.052666087555044434,3.5158848508196794e-05,0.0023127387912195187,3.5158848508196794e-05
53947_AT1,0.015006111771597119,8.944627254093711e-05,0.00013100851297480877,8.944627254093711e-05
51146_AT1,-5.620642311401391e-08,-0.0017799026559938709,5.621775989286443e-08,-0.0017799026559938709
28_AT1,0.0160291988523893,0.00010770654571004725,0.10886265771634972,0.00010770654571004725
206358_AT1,-0.004032679909130085,-0.0003811713519345494,0.004053262417667292,-0.0003811713519345494
6539_AT1,0.002334870311824854,0.00017876797593303288,-0.002154033288198714,8.024722107347179e-05
10449_AT1,0.0007098598741341017,0.00015040107865586596,-0.000619641327869074,1.9995841485554798e-05
38_AT1,-5.927075493468717e-08,-0.00020197345447747262,-4.582928203547244e-08,-0.00020197345447747262
64850_AT1,0.004993327808076075,0.0004646838696639061,0.0048820145212112006,0.0004646838696639061
3032_AT1,0.0002439171627731266,0.0001585070128492074,-0.0002439171627602286,7.732516170559996e-06
293_AT1,0.00013147461738947905,9.567535054581291e-05,2.9782277104089942e-05,9.567535054581291e-05
64902_AT1,-5.7292537605756814e-08,-0.001525758391012903,4.378049520823341e-09,-0.001525758391012903
3030_AT1,0.0002752171059500749,0.0001297500698034324,0.0009839475031083276,0.0001297500698034324
189_AT1,-6.424042160040189e-08,-0.0013216187654882903,1.1749975427300688e-07,-0.0013216187654882903
39_AT1,0.004839809221913316,0.00018103396647941902,-0.0017158913444473443,0.00011868044765796442
30_AT1,0.0008435986270677335,0.00019321108920806063,-0.0006261255721551045,2.8396701336728924e-05
32_AT1,-0.0008809077539537012,-0.00021932568665403724,0.002531083994576589,-0.00021932568665403724
9197_AT1,0.14415920665451404,-3.479154006458744e-05,0.022064861431803588,-3.479154006458744e-05
4126_AT1,0.0018884995308727337,-4.846834714622589e-06,0.029311346989977952,-4.846834714622589e-06
3073_AT1,0.0021864573413746652,-1.620346902877463e-06,0.0019941309564008376,-1.620346902877463e-06
3074_AT1,0.0029828194771128295,0.00024446255347794715,0.002522967393419031,0.00024446255347794715
10606_AT1,0.008015531662573464,0.00039224756858695717,0.07172667257035649,0.00039224756858695717
8706_AT1,0.04810806218716399,0.00018430628451417098,0.0037336072261367507,0.00018430628451417098
84532_AT1,-0.000500503199834685,-0.00031628136954678485,0.0018886176134782291,-0.00031628136954678485
64841_AT1,0.0025610235815139337,0.00014040469153119963,0.0215005818905556,0.00014040469153119963
55577_AT1,0.0009350902604373704,8.874373316724187e-05,-0.0007552739170320487,1.5000922752081043e-05
5238_AT1,0.0002660405949196726,0.00010341190943936009,-7.120479002878256e-05,3.4875189207131777e-06
8705_AT1,0.003874769980793032,0.000140822665885586,0.0666280578556772,0.000140822665885586
9487_AT1,0.001499718427661045,0.000165433870727691,0.0001416300811744312,0.000165433870727691
162417_AT1,-6.213309395729756e-08,-0.0012994511696756523,-8.304959451151779e-07,-0.0012994511696756523
6572_AT1,-6.403243389149317e-08,-0.0012994511696756523,8.730879257899336e-08,-0.0012994511696756523
84002_AT1,0.07405775494613742,5.876801221497435e-05,-0.0003569750640729078,0.0004373205762214059
570_AT1,0.12178733084386355,0.0006307374423578923,0.010442445513084257,0.0006307374423578923
3141_AT1,0.004867514793897558,-0.0003554232066383053,0.0034217673239593247,-0.0003554232066383053
54187_AT1,0.12512817998822295,-0.00013378530817739585,0.1235851120231613,-0.00013378530817739585
140679_AT1,0.004029785037757265,0.0008091527022637183,0.08051646126018407,0.0008091527022637183
26503_AT1,0.0002998933259790153,-7.271915307329443e-05,0.00040157612923308274,-7.271915307329443e-05
8424_AT1,0.14797797303083401,3.149964753913444e-05,0.02150747294197642,3.149964753913444e-05
53630_AT1,-6.128091894209727e-08,-0.0012994511696756523,5.149672311894668e-08,-0.0012994511696756523
36_AT1,0.006980615112132683,0.0009964313608114268,-4.7051347579583944e-05,0.0007002587253779917
34_AT1,0.00442210744608405,4.742879653562037e-05,0.003031757280306905,4.742879653562037e-05
10599_AT1,-6.119635366267331e-08,-0.0017151689163071378,5.919270170740953e-08,-0.0017151689163071378
28976_AT1,0.0014542724733797709,0.00036438134960930867,-0.0013940867002316289,0.00010378889598525768
1244_AT1,0.005803328794756822,4.2481152067054e-05,0.0864972061846566,4.2481152067054e-05
35_AT1,0.06974162418692066,0.0006295634731363205,0.0023628226572502443,0.0006295634731363205
3712_AT1,0.14589352039152928,-0.0002154462783248938,-0.00044686881932339575,-0.0002154462783248938
