ENSG00000128274	53947_AT1
ENSG00000118017	51146_AT1
ENSG00000081760	65985_AT1
ENSG00000114771	13_AT1
ENSG00000109576	51166_AT1
ENSG00000129673	15_AT1
ENSG00000008311	10157_AT1
ENSG00000183044	18_AT2
ENSG00000165029	19_AT1
ENSG00000167972	21_AT1
ENSG00000198691	24_AT1
ENSG00000141338	10351_AT1
ENSG00000085563	5243_AT1
ENSG00000005471	5244_AT1
ENSG00000115657	10058_AT1
ENSG00000073734	8647_AT1
ENSG00000103222	4363_AT1
ENSG00000023839	1244_AT1
ENSG00000108846	8714_AT3
ENSG00000125257	10257_AT1
ENSG00000114770	10057_AT1
ENSG00000006071	6833_AT1
ENSG00000069431	10060_AT1
ENSG00000121270	85320_AT1
ENSG00000101986	215_AT1
ENSG00000173208	225_AT1
ENSG00000117528	5825_AT1
ENSG00000118777	9429_AT1
ENSG00000138075	64240_AT1
ENSG00000143921	64241_AT1
ENSG00000011198	51099_AT1
ENSG00000175164	28_AT1
ENSG00000060971	30_AT1
ENSG00000167315	10449_AT1
ENSG00000278540	31_AT5
ENSG00000076555	32_AT1
ENSG00000151498	27034_AT1
ENSG00000177646	28976_AT1
ENSG00000111271	80724_AT1
ENSG00000240303	84129_AT1
ENSG00000115361	33_AT1
ENSG00000117054	34_AT1
ENSG00000122971	35_AT1
ENSG00000196177	36_AT1
ENSG00000072778	37_AT1
ENSG00000075239	38_AT1
ENSG00000120437	39_AT1
ENSG00000159640	1636_AT1
ENSG00000130234	59272_AT1
ENSG00000167769	125981_AT1
ENSG00000177076	340485_AT1
ENSG00000078124	55331_AT1
ENSG00000087085	43_AT1
ENSG00000131473	47_AT2
ENSG00000153086	130013_AT1
ENSG00000122729	48_AT1
ENSG00000100412	50_AT1
ENSG00000184227	641371_AT1
ENSG00000119673	10965_AT1
ENSG00000177465	122970_AT1
ENSG00000205669	641372_AT1
ENSG00000097021	11332_AT1
ENSG00000101473	10005_AT2
ENSG00000162390	26027_AT1
ENSG00000172497	134526_AT1
ENSG00000112304	55856_AT1
ENSG00000161533	51_AT1
ENSG00000168306	8309_AT1
ENSG00000087008	8310_AT1
ENSG00000143727	52_AT2
ENSG00000134575	53_AT1
ENSG00000102575	54_AT1
ENSG00000162836	51205_AT1
ENSG00000183760	390928_AT1
ENSG00000103740	23205_AT1
ENSG00000130377	81616_AT1
ENSG00000151726	2180_AT1
ENSG00000123983	2181_AT2
ENSG00000068366	2182_AT2
ENSG00000197142	51703_AT1
ENSG00000164398	23305_AT1
ENSG00000166743	116285_AT1
ENSG00000183747	123876_AT1
ENSG00000066813	348158_AT1
ENSG00000005187	6296_AT1
ENSG00000215009	341392_AT1
ENSG00000183549	54988_AT1
ENSG00000154930	84532_AT1
ENSG00000131069	55902_AT2
ENSG00000111058	79611_AT1
ENSG00000243989	95_AT1
ENSG00000132744	91703_AT1
ENSG00000119640	97_AT1
ENSG00000170634	98_AT1
ENSG00000196839	100_AT1
ENSG00000164742	107_AT1
ENSG00000078295	108_AT1
ENSG00000138031	109_AT1
ENSG00000129467	196883_AT1
ENSG00000173175	111_AT1
ENSG00000174233	112_AT2
ENSG00000121281	113_AT1
ENSG00000155897	114_AT1
ENSG00000162104	115_AT1
ENSG00000143199	55811_AT1
ENSG00000187758	124_AT1
ENSG00000196616	125_AT1
ENSG00000248144	126_AT1
ENSG00000198099	127_AT1
ENSG00000197894	128_AT1
ENSG00000172955	130_AT1
ENSG00000196344	131_AT1
ENSG00000147576	137872_AT1
ENSG00000182551	55256_AT1
ENSG00000156110	132_AT2
ENSG00000181915	84890_AT1
ENSG00000239900	158_AT2
ENSG00000183077	125061_AT1
ENSG00000038002	175_AT1
ENSG00000006530	55750_AT1
ENSG00000162688	178_AT5
ENSG00000116771	79814_AT1
ENSG00000204310	10554_AT1
ENSG00000169692	10555_AT1
ENSG00000160216	56894_AT2
ENSG00000026652	56895_AT1
ENSG00000155189	55326_AT1
ENSG00000172482	189_AT1
ENSG00000113492	64902_AT1
ENSG00000101444	191_AT1
ENSG00000168710	10768_AT2
ENSG00000111732	57379_AT1
ENSG00000106992	203_AT1
ENSG00000004455	204_AT2
ENSG00000147853	50808_AT1
ENSG00000162433	205_AT1
ENSG00000154027	26289_AT1
ENSG00000140057	122481_AT1
ENSG00000117448	10327_AT2
ENSG00000085662	231_AT1
ENSG00000198074	57016_AT1
ENSG00000227471	441282_AT1
ENSG00000187134	1645_AT1
ENSG00000151632	1646_AT1
ENSG00000196139	8644_AT1
ENSG00000198610	1109_AT1
ENSG00000122787	6718_AT1
ENSG00000053371	8574_AT1
ENSG00000148218	210_AT1
ENSG00000023330	211_AT2
ENSG00000158578	212_AT1
ENSG00000165092	216_AT1
ENSG00000128918	8854_AT2
ENSG00000184254	220_AT1
ENSG00000137124	219_AT1
ENSG00000144908	10840_AT1
ENSG00000136010	160428_AT1
ENSG00000111275	217_AT1
ENSG00000108602	218_AT1
ENSG00000072210	224_AT1
ENSG00000006534	221_AT1
ENSG00000132746	222_AT1
ENSG00000159423	8659_AT2
ENSG00000112294	7915_AT1
ENSG00000119711	4329_AT1
ENSG00000164904	501_AT1
ENSG00000143149	223_AT1
ENSG00000059573	5832_AT1
ENSG00000149925	226_AT1
ENSG00000136872	229_AT1
ENSG00000109107	230_AT1
ENSG00000251287	644974_AT1
ENSG00000120697	29880_AT1
ENSG00000139133	84920_AT1
ENSG00000182858	79087_AT1
ENSG00000012779	240_AT1
ENSG00000108839	239_AT1
ENSG00000161905	246_AT1
ENSG00000179593	247_AT1
ENSG00000163295	248_AT1
ENSG00000162551	249_AT1
ENSG00000163283	250_AT1
ENSG00000242110	23600_AT2
ENSG00000123505	262_AT1
ENSG00000139344	144193_AT1
ENSG00000162066	51005_AT1
ENSG00000116748	270_AT1
ENSG00000116337	271_AT3
ENSG00000133805	272_AT1
ENSG00000145020	275_AT1
ENSG00000237763	276_AT1
ENSG00000174876	277_AT1
ENSG00000187733	278_AT1
ENSG00000243480	279_AT1
ENSG00000240038	280_AT1
ENSG00000166825	290_AT1
ENSG00000002726	26_AT1
ENSG00000131480	314_AT2
ENSG00000131471	8639_AT1
ENSG00000138356	316_AT1
ENSG00000198931	353_AT1
ENSG00000240583	358_AT1
ENSG00000167580	359_AT1
ENSG00000165272	360_AT1
ENSG00000171885	361_AT1
ENSG00000161798	362_AT1
ENSG00000165269	364_AT1
ENSG00000103375	343_AT1
ENSG00000103569	366_AT1
ENSG00000143595	89872_AT1
ENSG00000118520	383_AT1
ENSG00000081181	384_AT1
ENSG00000100299	410_AT1
ENSG00000113273	411_AT1
ENSG00000104763	427_AT1
ENSG00000188611	56624_AT1
ENSG00000116539	55870_AT1
ENSG00000126522	435_AT1
ENSG00000196433	438_AT1
ENSG00000070669	440_AT2
ENSG00000108381	443_AT1
ENSG00000166183	374569_AT1
ENSG00000162174	80150_AT1
ENSG00000130707	445_AT1
ENSG00000138363	471_AT1
ENSG00000163399	476_AT1
ENSG00000018625	477_AT1
ENSG00000105409	478_AT1
ENSG00000132681	480_AT1
ENSG00000143153	481_AT1
ENSG00000129244	482_AT1
ENSG00000069849	483_AT1
ENSG00000101892	23439_AT1
ENSG00000070961	490_AT1
ENSG00000157087	491_AT1
ENSG00000067842	492_AT1
ENSG00000058668	493_AT1
ENSG00000105675	495_AT1
ENSG00000186009	496_AT1
ENSG00000114573	523_AT1
ENSG00000116039	525_AT1
ENSG00000147416	526_AT1
ENSG00000155097	528_AT2
ENSG00000143882	245973_AT1
ENSG00000100554	51382_AT1
ENSG00000131100	529_AT1
ENSG00000250565	90423_AT1
ENSG00000128524	9296_AT1
ENSG00000136888	9550_AT1
ENSG00000213760	534_AT1
ENSG00000151418	127124_AT1
ENSG00000047249	51606_AT2
ENSG00000033627	535_AT1
ENSG00000185344	23545_AT1
ENSG00000105929	50617_AT1
ENSG00000117410	533_AT1
ENSG00000185883	527_AT1
ENSG00000159720	9114_AT1
ENSG00000147614	245972_AT1
ENSG00000113732	8992_AT1
ENSG00000124406	10396_AT1
ENSG00000081923	5205_AT1
ENSG00000143515	57198_AT1
ENSG00000206190	57194_AT1
ENSG00000068650	23250_AT1
ENSG00000101974	286410_AT1
ENSG00000148090	549_AT1
ENSG00000142920	113451_AT1
ENSG00000169255	8706_AT2
ENSG00000162885	148789_AT1
ENSG00000172318	8708_AT1
ENSG00000162630	8707_AT1
ENSG00000235863	8705_AT1
ENSG00000183778	10317_AT2
ENSG00000176022	126792_AT1
ENSG00000109956	27087_AT1
ENSG00000112309	135152_AT1
ENSG00000149541	26229_AT1
ENSG00000187676	145173_AT1
ENSG00000170340	10678_AT1
ENSG00000179913	10331_AT1
ENSG00000176383	79369_AT1
ENSG00000176597	84002_AT1
ENSG00000198488	192134_AT1
ENSG00000156966	93010_AT1
ENSG00000177191	374907_AT2
ENSG00000237172	84752_AT1
ENSG00000175711	146712_AT1
ENSG00000135454	2583_AT1
ENSG00000167080	124872_AT1
ENSG00000139044	283358_AT1
ENSG00000182272	338707_AT1
ENSG00000086062	2683_AT1
ENSG00000117411	8704_AT2
ENSG00000158850	8703_AT1
ENSG00000121578	8702_AT1
ENSG00000158470	9334_AT1
ENSG00000118276	9331_AT1
ENSG00000027847	11285_AT1
ENSG00000174684	11041_AT1
ENSG00000136881	570_AT1
ENSG00000129151	8424_AT1
ENSG00000060982	586_AT1
ENSG00000105552	587_AT1
ENSG00000114200	590_AT1
ENSG00000248098	593_AT1
ENSG00000083123	594_AT2
ENSG00000135697	53630_AT1
ENSG00000161267	622_AT2
ENSG00000164039	56898_AT1
ENSG00000145692	635_AT1
ENSG00000132840	23743_AT1
ENSG00000106605	644_AT1
ENSG00000090013	645_AT1
ENSG00000172331	669_AT1
ENSG00000162813	10380_AT1
ENSG00000172270	682_AT1
ENSG00000169814	686_AT1
ENSG00000106392	56913_AT1
ENSG00000133742	759_AT1
ENSG00000104267	760_AT1
ENSG00000164879	761_AT1
ENSG00000167434	762_AT1
ENSG00000174990	763_AT1
ENSG00000169239	11238_AT1
ENSG00000131686	765_AT1
ENSG00000168748	766_AT1
ENSG00000178538	767_AT1
ENSG00000107159	768_AT1
ENSG00000074410	771_AT1
ENSG00000185015	377677_AT1
ENSG00000118298	23632_AT1
ENSG00000084774	790_AT1
ENSG00000171302	124583_AT1
ENSG00000172508	57571_AT1
ENSG00000121691	847_AT1
ENSG00000159228	873_AT1
ENSG00000159231	874_AT1
ENSG00000145439	84869_AT1
ENSG00000160200	875_AT1
ENSG00000135218	948_AT1
ENSG00000004468	952_AT1
ENSG00000158825	978_AT1
ENSG00000103502	10423_AT1
ENSG00000129596	1036_AT1
ENSG00000163624	1040_AT1
ENSG00000101290	8760_AT1
ENSG00000170835	1056_AT1
ENSG00000134255	10390_AT1
ENSG00000100422	64781_AT2
ENSG00000223802	10715_AT1
ENSG00000143418	29956_AT1
ENSG00000154227	204219_AT1
ENSG00000090661	79603_AT1
ENSG00000139624	91012_AT1
ENSG00000172292	253782_AT1
ENSG00000198848	1066_AT1
ENSG00000172831	8824_AT1
ENSG00000172828	23491_AT1
ENSG00000159398	221223_AT1
ENSG00000001626	1080_AT1
ENSG00000138135	9023_AT1
ENSG00000070748	1103_AT3
ENSG00000016391	55349_AT1
ENSG00000134216	27159_AT2
ENSG00000133063	1118_AT1
ENSG00000110721	1119_AT1
ENSG00000100288	1120_AT2
ENSG00000123989	79586_AT1
ENSG00000033100	54480_AT1
ENSG00000111666	56994_AT1
ENSG00000175264	8534_AT1
ENSG00000175040	9435_AT1
ENSG00000122863	9469_AT1
ENSG00000140835	10164_AT1
ENSG00000135702	23563_AT1
ENSG00000183196	4166_AT1
ENSG00000147119	56548_AT1
ENSG00000171310	50515_AT1
ENSG00000136213	55501_AT1
ENSG00000180767	166012_AT1
ENSG00000169105	113189_AT1
ENSG00000131873	22856_AT1
ENSG00000198108	337876_AT1
ENSG00000166165	1152_AT1
ENSG00000104879	1158_AT1
ENSG00000223572	548596_AT1
ENSG00000237289	1159_AT1
ENSG00000131730	1160_AT1
ENSG00000105205	1178_AT1
ENSG00000137392	1208_AT1
ENSG00000125246	171425_AT1
ENSG00000092009	1215_AT1
ENSG00000111726	55907_AT1
ENSG00000162368	51727_AT1
ENSG00000134326	129607_AT1
ENSG00000150656	84735_AT1
ENSG00000133313	55748_AT1
ENSG00000173786	1267_AT1
ENSG00000068120	80347_AT1
ENSG00000093010	1312_AT1
ENSG00000165644	118881_AT1
ENSG00000173085	27235_AT1
ENSG00000132423	51805_AT1
ENSG00000110871	84274_AT1
ENSG00000119723	51004_AT2
ENSG00000167186	10229_AT1
ENSG00000131143	1327_AT1
ENSG00000131055	84701_AT1
ENSG00000178741	9377_AT1
ENSG00000135940	1329_AT1
ENSG00000111775	1337_AT1
ENSG00000156885	1339_AT1
ENSG00000126267	1340_AT1
ENSG00000160471	125965_AT1
ENSG00000164919	1345_AT1
ENSG00000161281	1346_AT1
ENSG00000112695	1347_AT1
ENSG00000115944	9167_AT1
ENSG00000131174	1349_AT1
ENSG00000170516	170712_AT1
ENSG00000127184	1350_AT1
ENSG00000176340	1351_AT1
ENSG00000187581	341947_AT1
ENSG00000047457	1356_AT1
ENSG00000091704	1357_AT1
ENSG00000158516	1358_AT1
ENSG00000158525	93979_AT1
ENSG00000165078	57094_AT1
ENSG00000080819	1371_AT1
ENSG00000021826	1373_AT1
ENSG00000110090	1374_AT1
ENSG00000205560	1375_AT3
ENSG00000169169	126129_AT1
ENSG00000157184	1376_AT1
ENSG00000095321	1384_AT3
ENSG00000088766	54675_AT1
ENSG00000005469	54677_AT1
ENSG00000062485	1431_AT1
ENSG00000139631	51380_AT1
ENSG00000147408	55790_AT1
ENSG00000169826	55454_AT1
ENSG00000159692	1487_AT1
ENSG00000137770	51496_AT1
ENSG00000116761	1491_AT1
ENSG00000171793	1503_AT1
ENSG00000047230	56474_AT1
ENSG00000064601	5476_AT1
ENSG00000182224	124637_AT1
ENSG00000159348	51706_AT1
ENSG00000166394	51700_AT1
ENSG00000100243	1727_AT1
ENSG00000071967	79901_AT1
ENSG00000179091	1537_AT1
ENSG00000140465	1543_AT1
ENSG00000140505	1544_AT1
ENSG00000138061	1545_AT1
ENSG00000255974	1548_AT1
ENSG00000198077	1549_AT1
ENSG00000197838	1553_AT1
ENSG00000197408	1555_AT1
ENSG00000138115	1558_AT1
ENSG00000138109	1559_AT1
ENSG00000108242	1562_AT1
ENSG00000165841	1557_AT1
ENSG00000100197	1565_AT1
ENSG00000130649	1571_AT1
ENSG00000197446	1572_AT1
ENSG00000134716	1573_AT1
ENSG00000167600	29785_AT1
ENSG00000155016	113612_AT1
ENSG00000160868	1576_AT1
ENSG00000106258	1577_AT1
ENSG00000160870	1551_AT1
ENSG00000021461	64816_AT2
ENSG00000187048	1579_AT1
ENSG00000142973	1580_AT1
ENSG00000186115	8529_AT1
ENSG00000186529	4051_AT1
ENSG00000186526	11283_AT1
ENSG00000171903	57834_AT1
ENSG00000186204	66002_AT1
ENSG00000171954	126410_AT1
ENSG00000145476	285440_AT1
ENSG00000186377	260293_AT1
ENSG00000186160	199974_AT1
ENSG00000167910	1581_AT1
ENSG00000172817	9420_AT1
ENSG00000180432	1582_AT1
ENSG00000140459	1583_AT1
ENSG00000160882	1584_AT1
ENSG00000179142	1585_AT1
ENSG00000148795	1586_AT1
ENSG00000137869	1588_AT1
ENSG00000231852	1589_AT1
ENSG00000019186	1591_AT1
ENSG00000135929	1593_AT1
ENSG00000111012	1594_AT1
ENSG00000146233	51302_AT1
ENSG00000036530	10858_AT1
ENSG00000001630	1595_AT1
ENSG00000134780	747_AT1
ENSG00000164535	221955_AT1
ENSG00000110887	1610_AT1
ENSG00000123454	1621_AT1
ENSG00000155368	1622_AT1
ENSG00000137992	1629_AT1
ENSG00000156136	1633_AT1
ENSG00000080166	1638_AT1
ENSG00000129187	1635_AT1
ENSG00000179958	79077_AT1
ENSG00000169738	51181_AT1
ENSG00000132437	1644_AT1
ENSG00000203797	8528_AT1
ENSG00000104325	1666_AT1
ENSG00000242612	26063_AT1
ENSG00000143753	8560_AT1
ENSG00000168350	123099_AT1
ENSG00000023697	51071_AT1
ENSG00000185000	8694_AT1
ENSG00000062282	84649_AT1
ENSG00000065357	1606_AT1
ENSG00000136267	1607_AT2
ENSG00000077044	8527_AT1
ENSG00000153933	8526_AT1
ENSG00000058866	1608_AT1
ENSG00000102780	160851_AT1
ENSG00000157680	9162_AT1
ENSG00000145214	1609_AT1
ENSG00000149091	8525_AT2
ENSG00000114956	1716_AT3
ENSG00000172893	1717_AT1
ENSG00000116133	1718_AT1
ENSG00000228716	1719_AT1
ENSG00000102967	1723_AT1
ENSG00000100867	10202_AT1
ENSG00000162496	9249_AT1
ENSG00000157326	10901_AT1
ENSG00000073737	10170_AT1
ENSG00000211452	1733_AT1
ENSG00000211448	1734_AT1
ENSG00000197406	1735_AT1
ENSG00000150768	1737_AT1
ENSG00000091140	1738_AT1
ENSG00000119689	1743_AT1
ENSG00000132837	29958_AT1
ENSG00000167130	57171_AT1
ENSG00000104885	84444_AT1
ENSG00000015413	1800_AT1
ENSG00000167261	64174_AT1
ENSG00000141096	64180_AT1
ENSG00000136908	8818_AT2
ENSG00000188641	1806_AT1
ENSG00000147647	1807_AT1
ENSG00000092964	1808_AT1
ENSG00000113657	1809_AT1
ENSG00000168393	1841_AT1
ENSG00000137857	53905_AT2
ENSG00000140279	50506_AT1
ENSG00000144048	8446_AT1
ENSG00000128951	1854_AT1
ENSG00000147155	10682_AT1
ENSG00000104823	1891_AT1
ENSG00000121310	55268_AT1
ENSG00000127884	1892_AT1
ENSG00000167969	1632_AT1
ENSG00000198721	10455_AT1
ENSG00000113790	1962_AT1
ENSG00000181090	79813_AT1
ENSG00000204371	10919_AT1
ENSG00000066322	64834_AT1
ENSG00000197977	54898_AT1
ENSG00000119915	83401_AT1
ENSG00000118402	6785_AT1
ENSG00000012660	60481_AT1
ENSG00000170522	79071_AT1
ENSG00000164181	79993_AT1
ENSG00000074800	2023_AT1
ENSG00000111674	2026_AT1
ENSG00000108515	2027_AT1
ENSG00000145293	58478_AT1
ENSG00000197594	5167_AT1
ENSG00000136960	5168_AT1
ENSG00000154269	5169_AT1
ENSG00000164303	133121_AT1
ENSG00000182156	339221_AT1
ENSG00000138185	953_AT1
