"","E_4920_OL_RNA_S1","E_5273_OL_RNA_S75","E_5618_OL_RNA_S62","E_5107_OL_RNA_S98","E_5333_OL_RNA_S25","E_5337_OL_RNA_S12","E_5419_OL_RNA_S14","E_5454_OL_RNA_S21","E_5537_OL_RNA_S76","E_5585_OL_RNA_S6","E_5020_OL_RNA_S79","E_4988_OL_RNA_S16","E_5113_OL_RNA_S23","E_4934_OL_RNA_S40","E_5047_OL_RNA_S43","E_5082_OL_RNA_S80","E_5184_OL_RNA_S46","E_5240_OL_RNA_S73","E_5000_OL_RNA_S58","C_5628_OL_RNA_S44","C_5114_OL_RNA_S69","C_4942_OL_RNA_S90","C_4954_OL_RNA_S28","C_5709_OL_RNA_S18","C_5070_OL_RNA_S60","C_4870_OL_RNA_S68","C_5248_OL_RNA_S82"
"ENSG00000003147",5.47958015474528,4.74816946032754,4.90661080612484,2.7001878277887,1.84192865364561,3.91397440086733,3.96464599694199,4.8085180708536,3.72544423615938,3.51392207794053,3.77959935405294,3.53997224138396,4.49485099568397,5.19590573828652,2.20456931572724,3.83400926558897,3.5424132272889,4.13056964669439,4.27075874433497,5.61208663600923,4.99940862176775,5.47982137654532,4.32555838595218,5.33224894105757,5.47298117718694,5.65658508280429,5.58843082247373
"ENSG00000005381",-0.997639950867237,0.76747467467463,-1.67125223024991,-2.13810366021376,-3.54326320254549,-1.96647966949856,-2.33491782864933,0.203280857400706,-4.06201152834895,-2.69049227749958,-3.87314791453946,-3.06478487310377,-0.735125872302717,0.360166464848185,-1.29118807590678,0.417434539551144,-2.34527748227031,-2.09723997004294,-0.58983909446715,1.24731635092171,-0.392854266502203,0.388391298788775,4.59693723507668,1.15067299396786,1.29280785324936,0.813808609957691,-2.54181463996067
"ENSG00000008086",8.2758920588385,7.2706786487189,7.79682332499363,6.47005697061255,6.18537415180244,6.26438579427117,6.51409185007092,6.10156552472148,6.55202370479281,6.7247696543964,6.34423244874392,7.13199498622788,6.96543863796495,6.96526671354377,7.19203832121428,6.98496699175528,6.5128856473019,5.96848673729713,6.09506635870707,8.30259560333682,7.64164377719718,8.82508099192243,7.68342231023201,7.25452342238011,7.37864848504639,8.32861956997834,8.11362645987016
"ENSG00000008118",4.20459334084819,4.49292206809307,3.53977875845108,3.25893921543327,3.4513897174424,3.24121596196519,3.55896979245755,2.91048905616335,3.2027620163415,2.78802490422429,2.63427833530184,2.70666783922401,3.11798085440794,2.64308984377746,1.58544184114695,3.4935907562258,2.06410802583336,2.47671957894386,3.65034930170388,4.65230817511313,3.85548550914355,5.29147163595736,4.03486593538849,3.99898756522109,4.2454852147615,5.04925401490342,5.30711351190346
"ENSG00000011083",5.7645363875391,4.95246455352258,4.47173241852241,3.71450443478651,3.44609146012515,4.63582141799126,4.0901195098546,4.35534457851126,5.02713665156799,4.45144003783981,4.05656701736843,3.27786238604752,4.20318420115373,6.06648464342143,3.63594791913717,5.4883141870948,3.16471557656842,3.61151530234139,3.42230640961431,5.78398058080702,5.36598381517422,6.27202155465282,4.8714770570348,4.68203513954098,5.83413182340714,6.03115561525522,5.40123527147281
"ENSG00000014641",6.69493122974261,6.69905433383685,6.03540873418771,3.86929257657186,4.09288293059354,4.98253098473557,4.377130206808,4.17852457785229,5.60427695723582,4.79402541192262,4.5917391943661,4.87009256224573,5.61636674205451,5.97192767530301,3.92145196596419,5.21798008361358,4.92116629318959,4.66601136915326,4.91460979711299,6.54313307270808,6.36035915461345,6.3598180863755,5.85122602493128,5.37138396686305,5.93625121318393,6.87037871227508,8.02076275612889
"ENSG00000020577",5.94793810198037,6.14882499334577,6.29701145487691,8.78558377841319,8.24890694806941,7.00569254644264,9.02955277062952,7.7332951884711,6.75323655577716,7.58798663118716,7.7646061475834,7.85015869087697,6.63287754259178,6.9875386931473,8.21927618122962,7.66296671452355,8.62843082846171,7.71467569267719,7.81157219363779,5.82069729979688,6.5898002468587,5.54301975959795,6.57135267151902,6.64438974582351,6.08919002483997,5.43686520479732,5.11135416543846
"ENSG00000026025",5.80371127559053,6.65745900526106,6.17973955959685,9.08620016044712,8.19924516803029,7.90889812839763,8.93943975548444,7.99931406514495,7.43117247823217,7.08863921050833,7.47542153063041,8.05665003782407,7.23476360279748,7.52758306937909,7.95756288109766,7.75218513290288,8.51376397869445,8.70936867209909,9.06820066600675,6.19913702797317,6.16910599473337,6.33415934333271,7.2845529505018,7.29735773102406,6.32918496618167,5.38344333365006,6.83803591410595
"ENSG00000037280",2.01508573049863,2.8516902270396,2.01544725630127,5.54828641560124,4.08676418933438,2.83528982764687,4.12864356951276,4.64247644602047,3.29253222997173,4.2438967780079,3.38244057297441,4.51965389473531,3.4145036528945,3.83656039135784,4.59932085022834,3.60205908578665,6.55000876785027,5.04621382864056,3.50627452292648,-0.163388219024064,2.31359247985845,0.946337136771066,3.08588365488379,1.80167701864626,2.36419886094268,2.0391045161178,1.95876674346172
"ENSG00000047617",2.79887834626289,2.00537920750461,3.15467436872589,4.52081743827397,4.91601267973998,3.82556227526586,4.94894606290279,4.87786497825545,3.18846596683861,5.15995423459298,3.77565867518152,4.31633583591723,4.2276813343926,2.58067448393529,3.97780618565533,3.13784747859057,5.84655992002965,5.49810493298089,4.91740942453855,0.231650314677935,2.91329434728833,2.2279468977096,3.35130522229159,2.30428401222311,3.17880091156681,2.44462324015548,1.85590373626938
"ENSG00000048991",7.76481592381016,7.64033970107029,7.61309232906673,5.09549846407607,5.14147008802234,7.11726967942573,6.59849407091315,7.22423841506051,6.42034572479281,6.1728652833841,6.20111799114929,6.10650865718137,6.78003910926686,6.09335759575428,5.73634853154521,6.46581595779013,5.64384378403464,5.54273789023981,5.99043512449792,7.74970811852804,7.51559859386588,7.52031432213929,7.1322357096459,7.35925225454558,7.37757589744784,7.13969410532809,7.78621016255039
"ENSG00000054598",2.09048241745266,2.4553422665307,2.40113741174697,4.84653592444535,3.4486962686747,4.40426933534492,3.66912611822285,4.10289421389197,3.10423172604676,3.82533638852562,3.55469427134316,4.61187464598734,4.07364256748688,3.51227926763487,4.04607091191633,2.98945580573378,5.3020067366579,4.88483151267173,5.12904192068727,0.537706530196693,2.33062155332227,1.70684967059088,2.65621237497846,3.21317022669526,2.0478670731954,2.13994481161724,2.10113992849682
"ENSG00000059588",7.11064842678047,7.34022089112141,6.56618915271703,3.77945358293133,4.0005894273919,5.03259141691784,3.65151687315867,6.29379346022063,5.40149290137664,4.82268305753571,4.87627224797606,4.74739818894051,5.69777140572608,5.30251669472104,4.47234590777108,4.71670087356872,3.99922474841653,3.60750977718914,5.08196798386137,6.85702152378998,5.95848661718608,7.41263776614747,5.46348796015506,6.79041749628943,7.12507561473688,7.1239680205881,7.105099172658
"ENSG00000062370",1.96258707934245,2.72643235314501,3.30697744540932,-2.13810366021376,2.41759283025359,1.03123373442296,-2.33491782864933,0.666043169360292,1.62230329090512,2.2318232015932,3.18709331044074,0.515770920798961,2.68098153265622,-0.331165090536839,3.34090046468403,-3.12418408452096,1.12915601661418,1.08462706251376,1.1113839206291,2.70218441366521,2.99177666182636,3.44027843930361,2.66255521616568,3.16360372007327,3.34044617914409,2.59046442610286,3.20361706748358
"ENSG00000065054",4.78128797956263,4.23677650941774,4.89376196681161,7.38414920705219,5.99497357185804,5.14511747984176,6.41714723572429,6.05590190615751,5.39526559463924,6.32875833164371,6.3010479889463,6.22301500743744,5.00044284163598,5.44968646106051,7.0825522025539,5.79365417813049,7.24221480162598,5.99676856058148,6.02220472696358,4.99855662327258,4.80853056137063,4.68329505278183,4.67308984531048,4.78416499723432,4.74017232269809,4.64395072515162,4.85189345619588
