Step,Remaining Genes,Genes Count,Removed Gene,Fitness,Delta,Individual
0,8789_AT1;79017_AT1;53905_AT2;3248_AT1;132158_AT1;5232_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,10,,6.443659556494081,0.0,23698
1,8789_AT1;79017_AT1;53905_AT2;3248_AT1;132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,9,5232_AT1,6.443659556494081,0.0,23698
2,8789_AT1;79017_AT1;3248_AT1;132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,8,53905_AT2,6.442839090833675,0.0008204656604062777,23698
3,8789_AT1;79017_AT1;132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,7,3248_AT1,6.437353520233891,0.005485570599783607,23698
4,8789_AT1;132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,6,79017_AT1,6.430768046238253,0.00658547399563858,23698
5,132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,5,8789_AT1,6.398790828557178,0.03197721768107442,23698
6,132158_AT1;375056_AT1;8781_AT1;283209_AT1,4,5631_AT1,6.3675585199822216,0.031232308574956846,23698
7,132158_AT1;375056_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,23698
8,375056_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,23698
9,375056_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,23698
0,8789_AT1;79017_AT1;53905_AT2;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,9,,6.443659556494081,0.0,20414
1,8789_AT1;79017_AT1;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,8,53905_AT2,6.442839090833675,0.0008204656604062777,20414
2,8789_AT1;79017_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,7,3248_AT1,6.437353520233891,0.005485570599783607,20414
3,8789_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,6,79017_AT1,6.430768046238253,0.00658547399563858,20414
4,132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,5,8789_AT1,6.398790828557178,0.03197721768107442,20414
5,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5631_AT1,6.3675585199822216,0.031232308574956846,20414
6,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,20414
7,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,20414
8,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,20414
0,8789_AT1;79017_AT1;53905_AT2;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,9,,6.443659556494081,0.0,20412
1,8789_AT1;79017_AT1;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,8,53905_AT2,6.442839090833675,0.0008204656604062777,20412
2,8789_AT1;79017_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,7,3248_AT1,6.437353520233891,0.005485570599783607,20412
3,8789_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,6,79017_AT1,6.430768046238253,0.00658547399563858,20412
4,132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,5,8789_AT1,6.398790828557178,0.03197721768107442,20412
5,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5631_AT1,6.3675585199822216,0.031232308574956846,20412
6,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,20412
7,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,20412
8,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,20412
0,8789_AT1;79017_AT1;53905_AT2;3248_AT1;132158_AT1;5232_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,10,,6.443659556494081,0.0,20411
1,8789_AT1;79017_AT1;53905_AT2;3248_AT1;132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,9,5232_AT1,6.443659556494081,0.0,20411
2,8789_AT1;79017_AT1;3248_AT1;132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,8,53905_AT2,6.442839090833675,0.0008204656604062777,20411
3,8789_AT1;79017_AT1;132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,7,3248_AT1,6.437353520233891,0.005485570599783607,20411
4,8789_AT1;132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,6,79017_AT1,6.430768046238253,0.00658547399563858,20411
5,132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,5,8789_AT1,6.398790828557178,0.03197721768107442,20411
6,132158_AT1;375056_AT1;8781_AT1;283209_AT1,4,5631_AT1,6.3675585199822216,0.031232308574956846,20411
7,132158_AT1;375056_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,20411
8,375056_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,20411
9,375056_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,20411
0,8789_AT1;79017_AT1;53905_AT2;3248_AT1;132158_AT1;5232_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,10,,6.443659556494081,0.0,20410
1,8789_AT1;79017_AT1;53905_AT2;3248_AT1;132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,9,5232_AT1,6.443659556494081,0.0,20410
2,8789_AT1;79017_AT1;3248_AT1;132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,8,53905_AT2,6.442839090833675,0.0008204656604062777,20410
3,8789_AT1;79017_AT1;132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,7,3248_AT1,6.437353520233891,0.005485570599783607,20410
4,8789_AT1;132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,6,79017_AT1,6.430768046238253,0.00658547399563858,20410
5,132158_AT1;375056_AT1;5631_AT1;8781_AT1;283209_AT1,5,8789_AT1,6.398790828557178,0.03197721768107442,20410
6,132158_AT1;375056_AT1;8781_AT1;283209_AT1,4,5631_AT1,6.3675585199822216,0.031232308574956846,20410
7,132158_AT1;375056_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,20410
8,375056_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,20410
9,375056_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,20410
0,8789_AT1;79017_AT1;53905_AT2;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,9,,6.443659556494081,0.0,22000
1,8789_AT1;79017_AT1;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,8,53905_AT2,6.442839090833675,0.0008204656604062777,22000
2,8789_AT1;79017_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,7,3248_AT1,6.437353520233891,0.005485570599783607,22000
3,8789_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,6,79017_AT1,6.430768046238253,0.00658547399563858,22000
4,132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,5,8789_AT1,6.398790828557178,0.03197721768107442,22000
5,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5631_AT1,6.3675585199822216,0.031232308574956846,22000
6,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,22000
7,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,22000
8,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,22000
0,8789_AT1;79017_AT1;53905_AT2;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,9,,6.443659556494081,0.0,22001
1,8789_AT1;79017_AT1;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,8,53905_AT2,6.442839090833675,0.0008204656604062777,22001
2,8789_AT1;79017_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,7,3248_AT1,6.437353520233891,0.005485570599783607,22001
3,8789_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,6,79017_AT1,6.430768046238253,0.00658547399563858,22001
4,132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,5,8789_AT1,6.398790828557178,0.03197721768107442,22001
5,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5631_AT1,6.3675585199822216,0.031232308574956846,22001
6,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,22001
7,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,22001
8,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,22001
0,8789_AT1;79017_AT1;53905_AT2;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,9,,6.443659556494081,0.0,22002
1,8789_AT1;79017_AT1;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,8,53905_AT2,6.442839090833675,0.0008204656604062777,22002
2,8789_AT1;79017_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,7,3248_AT1,6.437353520233891,0.005485570599783607,22002
3,8789_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,6,79017_AT1,6.430768046238253,0.00658547399563858,22002
4,132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,5,8789_AT1,6.398790828557178,0.03197721768107442,22002
5,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5631_AT1,6.3675585199822216,0.031232308574956846,22002
6,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,22002
7,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,22002
8,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,22002
0,8789_AT1;79017_AT1;53905_AT2;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,9,,6.443659556494081,0.0,22003
1,8789_AT1;79017_AT1;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,8,53905_AT2,6.442839090833675,0.0008204656604062777,22003
2,8789_AT1;79017_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,7,3248_AT1,6.437353520233891,0.005485570599783607,22003
3,8789_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,6,79017_AT1,6.430768046238253,0.00658547399563858,22003
4,132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,5,8789_AT1,6.398790828557178,0.03197721768107442,22003
5,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5631_AT1,6.3675585199822216,0.031232308574956846,22003
6,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,22003
7,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,22003
8,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,22003
0,8789_AT1;79017_AT1;53905_AT2;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,9,,6.443659556494081,0.0,22004
1,8789_AT1;79017_AT1;3248_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,8,53905_AT2,6.442839090833675,0.0008204656604062777,22004
2,8789_AT1;79017_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,7,3248_AT1,6.437353520233891,0.005485570599783607,22004
3,8789_AT1;132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,6,79017_AT1,6.430768046238253,0.00658547399563858,22004
4,132158_AT1;5232_AT1;5631_AT1;8781_AT1;283209_AT1,5,8789_AT1,6.398790828557178,0.03197721768107442,22004
5,132158_AT1;5232_AT1;8781_AT1;283209_AT1,4,5631_AT1,6.3675585199822216,0.031232308574956846,22004
6,132158_AT1;5232_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,22004
7,5232_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,22004
8,5232_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,22004
