Knocked Genes,Knocked Count,Fitness
"189_AT1,1638_AT1,3283_AT1,55217_AT1,21_AT1,132158_AT1,5230_AT1,8781_AT1,283209_AT1,113612_AT1",10,6.479791463982006
"189_AT1,1638_AT1,3283_AT1,55217_AT1,2053_AT1,21_AT1,132158_AT1,5230_AT1,8781_AT1,283209_AT1",10,6.479055901165444
"189_AT1,1638_AT1,246_AT1,3283_AT1,55217_AT1,21_AT1,132158_AT1,5230_AT1,8781_AT1,283209_AT1",10,6.478569800618965
"189_AT1,246_AT1,3283_AT1,55217_AT1,2053_AT1,21_AT1,132158_AT1,5230_AT1,8781_AT1,283209_AT1",10,6.477373022621412
"189_AT1,246_AT1,3283_AT1,55217_AT1,21_AT1,132158_AT1,5230_AT1,8781_AT1,283209_AT1",9,6.476798829760045
"1638_AT1,246_AT1,3283_AT1,55217_AT1,2053_AT1,21_AT1,132158_AT1,5230_AT1,8781_AT1,283209_AT1",10,6.473380361450434
"1638_AT1,246_AT1,3283_AT1,55217_AT1,21_AT1,132158_AT1,5230_AT1,8781_AT1,283209_AT1",9,6.472837404491958
"1638_AT1,246_AT1,3283_AT1,21_AT1,132158_AT1,5230_AT1,8781_AT1,283209_AT1",8,6.472160487479695
"3283_AT1,55217_AT1,21_AT1,132158_AT1,5230_AT1,8781_AT1,283209_AT1",7,6.470673204397913
"189_AT1,1638_AT1,246_AT1,2053_AT1,21_AT1,132158_AT1,5230_AT1,8781_AT1,283209_AT1,113612_AT1",10,6.463957031627874
"189_AT1,1638_AT1,246_AT1,55217_AT1,21_AT1,132158_AT1,5230_AT1,8781_AT1,283209_AT1,113612_AT1",10,6.463852540290536
"189_AT1,1638_AT1,246_AT1,55217_AT1,2053_AT1,21_AT1,132158_AT1,5230_AT1,8781_AT1,283209_AT1",10,6.463027011750082
"178_AT2,1589_AT1,8833_AT1,132158_AT1,5230_AT1,5232_AT1,5634_AT1,8781_AT1,283209_AT1",9,6.404034049727581
"10312_AT2,178_AT2,8833_AT1,132158_AT1,5230_AT1,5232_AT1,23443_AT1,5634_AT1,8781_AT1,283209_AT1",10,6.40378905448853
"178_AT2,1589_AT1,132158_AT1,5230_AT1,5232_AT1,5634_AT1,8781_AT1,283209_AT1",8,6.399766050129197
"178_AT2,1589_AT1,132158_AT1,5232_AT1,5634_AT1,8781_AT1,283209_AT1",7,6.399766050129197
"178_AT2,1589_AT1,132158_AT1,5230_AT1,5232_AT1,23443_AT1,5634_AT1,8781_AT1,283209_AT1",9,6.399766050086488
"178_AT2,132158_AT1,5232_AT1,5634_AT1,8781_AT1,283209_AT1",6,6.399521907022208
"178_AT2,132158_AT1,5230_AT1,5232_AT1,23443_AT1,5634_AT1,8781_AT1,283209_AT1",8,6.399521907021987
"178_AT2,132158_AT1,5232_AT1,23443_AT1,5634_AT1,8781_AT1,283209_AT1",7,6.399521907021987
"1589_AT1,132158_AT1,5232_AT1,5634_AT1,8781_AT1,283209_AT1",6,6.399035012861985
"1589_AT1,132158_AT1,5230_AT1,5634_AT1,8781_AT1,283209_AT1",6,6.399035012861985
"1589_AT1,132158_AT1,5230_AT1,5232_AT1,5634_AT1,5631_AT1,8781_AT1,283209_AT1",8,6.399035012861985
"1589_AT1,132158_AT1,5230_AT1,5232_AT1,5634_AT1,8781_AT1,283209_AT1",7,6.399035012861985
"10312_AT2,1589_AT1,132158_AT1,5230_AT1,5232_AT1,5634_AT1,8781_AT1,283209_AT1",8,6.39903501285799
"132158_AT1,5230_AT1,5232_AT1,5634_AT1,8781_AT1,283209_AT1",6,6.398790828557326
"8528_AT1,79017_AT1,1588_AT1,51447_AT4,5168_AT1,132158_AT1,375056_AT1,8781_AT1,100507855_AT1,2978_AT1",10,6.021365734361424
"189_AT1,622_AT1,8528_AT2,178_AT3,26227_AT1,5168_AT1,375056_AT1,8781_AT1,100507855_AT1,10941_AT1",10,5.738947809293265
"189_AT1,622_AT1,1610_AT1,8528_AT2,26227_AT1,5168_AT1,375056_AT1,8781_AT1,100507855_AT1,10941_AT1",10,5.683494061483247
"189_AT1,622_AT1,1610_AT1,8528_AT2,178_AT3,26227_AT1,5168_AT1,375056_AT1,100507855_AT1,10941_AT1",10,5.6208079788608485
"189_AT1,622_AT1,1610_AT1,178_AT3,26227_AT1,5168_AT1,375056_AT1,100507855_AT1,10941_AT1",9,5.617796021860314
"189_AT1,622_AT1,178_AT3,26227_AT1,5168_AT1,375056_AT1,100507855_AT1,10941_AT1",8,5.617796021859398
"189_AT1,622_AT1,1610_AT1,8528_AT2,178_AT3,26227_AT1,5168_AT1,375056_AT1,8781_AT1,10941_AT1",10,5.595270978984337
"1103_AT3,29968_AT2",2,3.561097393782546
"26227_AT1,5294_AT1",2,3.5440885060318887
"84649_AT1,245973_AT1,6560_AT1,8875_AT1,375056_AT1",5,3.294125141337407
"1610_AT1,3931_AT1,26062_AT1,8781_AT1",4,2.839985693803514
"374907_AT1,2597_AT1",2,1.9225758628343304
"8714_AT1,978_AT1,11283_AT1,5295_AT2,29906_AT1,2168_AT1,7364_AT1,375056_AT1,5446_AT1",9,1.6287456895344563
"9162_AT1,5277_AT3,10965_AT1,51056_AT1,2762_AT1,5230_AT1",6,1.499877400615505
"2710_AT1,2679_AT1,2597_AT1",3,1.4953331718816694
"9963_AT1,2997_AT1,51447_AT5,6833_AT1,26330_AT1,100507855_AT1,51099_AT1,123264_AT1",8,1.291891678123869
"1644_AT1,5464_AT1,80025_AT1",3,1.196354691154139
"84532_AT1,8706_AT2,10423_AT1,9962_AT1,6511_AT1,5140_AT2,8399_AT1,26330_AT1,5631_AT1,84701_AT1",10,1.190953859214812
"5148_AT1,9583_AT1,26227_AT1",3,1.1823521124366498
226_AT2,1,1.123526442297301
"80271_AT1,3101_AT1,123745_AT1,8781_AT1,154141_AT1,9739_AT1,121214_AT1",7,1.083953297537542
"55577_AT1,8781_AT1",2,0.9339339791105982
"440_AT3,5837_AT1,10841_AT2,3631_AT2,8818_AT2,142680_AT1,112483_AT1,50700_AT1,26330_AT1,4541_AT1",10,0.8936478001000535
230_AT1,1,0.8693041241697618
"7083_AT1,226_AT1,178_AT1,5145_AT1,1580_AT1,79948_AT1,29072_AT1,283209_AT1",8,0.867182875435599
"230_AT1,259230_AT1",2,0.8666182121679229
"51_AT2,2132_AT1,66002_AT1,200576_AT1,56474_AT1,7086_AT1,5825_AT1",7,0.7350056537824696
"5211_AT2,113675_AT1,9896_AT1,56983_AT1,10553_AT1",5,0.7277264565348986
"2651_AT1,5214_AT1",2,0.7247974830956941
