Step,Remaining Genes,Genes Count,Removed Gene,Fitness,Delta,Individual
0,189_AT1;1638_AT1;3283_AT1;55217_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1;113612_AT1,10,,6.479791463982771,0.0,0
1,189_AT1;1638_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1;113612_AT1,9,55217_AT1,6.4791929574673155,0.0005985065154554547,0
2,189_AT1;1638_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,8,113612_AT1,6.477762904753917,0.0014300527133981333,0
3,189_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,7,1638_AT1,6.476066907376844,0.0016959973770731551,0
4,3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,6,189_AT1,6.4700991425264,0.005967764850444368,0
5,21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,5,3283_AT1,6.454117045385332,0.015982097141067797,0
6,132158_AT1;5230_AT1;8781_AT1;283209_AT1,4,21_AT1,6.3675585199822216,0.08655852540311049,0
7,132158_AT1;5230_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,0
8,5230_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,0
9,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,0
0,189_AT1;1638_AT1;3283_AT1;55217_AT1;2053_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,10,,6.47905590116908,0.0,1
1,189_AT1;1638_AT1;3283_AT1;2053_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,9,55217_AT1,6.478457134687395,0.0005987664816844429,1
2,189_AT1;1638_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,8,2053_AT1,6.477762904753917,0.0006942299334777857,1
3,189_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,7,1638_AT1,6.476066907376844,0.0016959973770731551,1
4,3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,6,189_AT1,6.4700991425264,0.005967764850444368,1
5,21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,5,3283_AT1,6.454117045385332,0.015982097141067797,1
6,132158_AT1;5230_AT1;8781_AT1;283209_AT1,4,21_AT1,6.3675585199822216,0.08655852540311049,1
7,132158_AT1;5230_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,1
8,5230_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,1
9,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,1
0,189_AT1;1638_AT1;246_AT1;3283_AT1;55217_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,10,,6.478569800623422,0.0,2
1,189_AT1;1638_AT1;3283_AT1;55217_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,9,246_AT1,6.4783470505252225,0.00022275009819949787,2
2,189_AT1;1638_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,8,55217_AT1,6.477762904753917,0.0005841457713051668,2
3,189_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,7,1638_AT1,6.476066907376844,0.0016959973770731551,2
4,3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,6,189_AT1,6.4700991425264,0.005967764850444368,2
5,21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,5,3283_AT1,6.454117045385332,0.015982097141067797,2
6,132158_AT1;5230_AT1;8781_AT1;283209_AT1,4,21_AT1,6.3675585199822216,0.08655852540311049,2
7,132158_AT1;5230_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,2
8,5230_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,2
9,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,2
0,189_AT1;246_AT1;3283_AT1;55217_AT1;2053_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,10,,6.477373022621043,0.0,3
1,189_AT1;3283_AT1;55217_AT1;2053_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,9,246_AT1,6.477323530701908,4.949191913450335e-05,3
2,189_AT1;3283_AT1;2053_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,8,55217_AT1,6.47675301846321,0.0005705122386983064,3
3,189_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,7,2053_AT1,6.476066907376844,0.0006861110863658482,3
4,3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,6,189_AT1,6.4700991425264,0.005967764850444368,3
5,21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,5,3283_AT1,6.454117045385332,0.015982097141067797,3
6,132158_AT1;5230_AT1;8781_AT1;283209_AT1,4,21_AT1,6.3675585199822216,0.08655852540311049,3
7,132158_AT1;5230_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,3
8,5230_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,3
9,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,3
0,189_AT1;246_AT1;3283_AT1;55217_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,9,,6.476798829758357,0.0,4
1,189_AT1;3283_AT1;55217_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,8,246_AT1,6.476622401194307,0.0001764285640497576,4
2,189_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,7,55217_AT1,6.476066907376844,0.0005554938174627821,4
3,3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,6,189_AT1,6.4700991425264,0.005967764850444368,4
4,21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,5,3283_AT1,6.454117045385332,0.015982097141067797,4
5,132158_AT1;5230_AT1;8781_AT1;283209_AT1,4,21_AT1,6.3675585199822216,0.08655852540311049,4
6,132158_AT1;5230_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,4
7,5230_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,4
8,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,4
0,1638_AT1;246_AT1;3283_AT1;55217_AT1;2053_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,10,,6.4733803614502055,0.0,5
1,1638_AT1;3283_AT1;55217_AT1;2053_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,9,246_AT1,6.473230568591872,0.00014979285833316425,5
2,1638_AT1;3283_AT1;2053_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,8,55217_AT1,6.4725973061446656,0.0006332624472067394,5
3,1638_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,7,2053_AT1,6.471883686431128,0.000713619713537561,5
4,3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,6,1638_AT1,6.4700991425264,0.001784543904728153,5
5,21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,5,3283_AT1,6.454117045385332,0.015982097141067797,5
6,132158_AT1;5230_AT1;8781_AT1;283209_AT1,4,21_AT1,6.3675585199822216,0.08655852540311049,5
7,132158_AT1;5230_AT1;283209_AT1,3,8781_AT1,6.206517490713032,0.16104102926918973,5
8,5230_AT1;283209_AT1,2,132158_AT1,5.673438993727449,0.5330784969855831,5
9,5230_AT1,1,283209_AT1,5.232510862589838,0.44092813113761054,5
0,1638_AT1;246_AT1;3283_AT1;55217_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,9,,6.472837404490864,0.0,6
1,1638_AT1;3283_AT1;55217_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,8,246_AT1,6.472506541493925,0.0003308629969387411,6
2,1638_AT1;3283_AT1;21_AT1;132158_AT1;5230_AT1;8781_AT1;283209_AT1,7,55217_AT1,6.471883686431128,0.0006228550627973561,6
